呵 particle)
啊 interj
錒 actinium
阿 initial
啊 an
嗄 part.)
啊 surprise)
啊 oh
阿 character)
啊 affirmation
阿 part.)
哀 sorrow
哎 an
唉 an
埃 dirt
挨 lean
啀 gnaw
挨 next
捱 dawdle
敳 administrating)
癌 cancer
皚 white
騃 stupid
噯 disapproval)
矮 short
藹 friendly
靄 cloudy
乂 to
僾 indistinct
唉 alas
噯 regret)
壒 dust
嬡 daughter
愛 to
曖 obscure
璦 jasper
礙 to
艾 surname
薆 to
鑀 ionium
隘 pass
靉 cloudy
媕 girl
安 content
庵 hut
桉 eucalyptus
氨 ammonia
盦 container
菴 Buddhist
萻 Buddhist
諳 versed
鞍 saddle
鵪 quail
啽 Cantonese
俺 dialects)
唵 syllable
銨 ammonium
岸 bank
按 press
暗 dark
案 case
犴 jail
胺 amine
豻 jail
闇 shut
黯 deep
肮 filthy
骯 dirty
卬 high
昂 high
盎 abundant
凹 a
熬 to
嗷 loud
廒 granary
摮 to
敖 ramble
熬 endure
獒 mastiff
璈 instr.)
翱 soar
聱 difficult
螯 nippers
謷 greatness
遨 make
鏖 violent
鰲 sea
鼇 sea
媼 old
襖 coat
傲 proud
坳 a
墺 buildingplot
奡 haughty
奧 obscure
嶴 place
懊 to
拗 bend
澳 Australia
驁 noble
仈 surname
八 eight
叭 denote
吧 onomat
巴 certain
扒 climb
捌 complicated
朳 tree
疤 scar
笆 article
粑 tsamba
芭 a
豝 corned
拔 pull
茇 betel
菝 smilax
跋 travel
軷 sacrifice
魃 drought
把 measure
鈀 palladium
靶 target
壩 dam
弝 grasped
把 handle
灞 name
爸 father
猈 short
罷 to
耙 a
霸 feudal
吧 suggestion)
罷 part.)
掰 break
白 white
佰 complicated
捭 spread
擺 pendulum
柏 surname
百 hundred
粨 hectometer
襬 bottom
唄 to
拜 pay
捭 weed
敗 be
稗 millet
粺 polished
扳 pull
搬 remove
斑 variegated
斒 variegated
班 team
瘢 mark
般 sort
頒 promulgate
昄 great
板 board
版 a
舨 sampan
鈑 metal
闆 boss
阪 a
伴 a
半 half
姅 menstruation
扮 disguise
拌 to
瓣 petal
絆 to
辦 to
傍 near
幫 to
梆 watchmans
浜 stream
邦 a
榜 notice
牓 tablet
綁 to
膀 upper
傍 near
塝 the
棒 a
玤 gem
甏 holding
磅 measure
膀 to
艕 fastened
蒡 Arctium
蚌 oysters
謗 to
鎊 pound
包 to
孢 spore
煲 pot
胞 the
苞 flower
褒 to
雹 hail
保 to
堡 an
媬 governess
寶 jewel
葆 dense
褓 carrying
飽 till
鴇 Chinese
儤 night
刨 a
報 to
抱 to
暴 sudden
瀑 shower
爆 to
菢 hatch
虣 cruel
豹 leopard
趵 jump
鉋 a
鑤 a
鮑 abalone
卑 low
悲 sad
揹 carry
杯 cup
桮 cup
椑 Fagus
盃 cup
碑 a
背 to
鵯 bird
北 north
倍 three
偝 disobey
備 to
孛 comet
悖 perverse
憊 exhausted
焙 over
狽 legendary
琲 necklace
碚 place
糒 food
背 learn
蓓 bud
被 passivevoice
褙 pasted
貝 cowries
輩 contemporaries
邶 feudal
鋇 barium
奔 hurry
賁 energetic
錛 adz
本 roots
畚 basket
苯 benzene
坌 bring
奔 go
笨 stupid
伻 to
崩 collapse
弸 full
祊 ancestral
繃 to
甭 need
琫 ornament
繃 have
菶 expand
搒 boat
泵 pump
蹦 to
迸 burst
偪 close
匕 ancient
屄 vulva
逼 force
荸 water
鼻 nose
俾 to
匕 dagger
妣 deceased
彼 that
比 comparison
沘 name
疕 facial
秕 grain
筆 pen
鄙 rustic
咇 fragrant
嗶 beiges
坒 to
壁 wall
奰 anger
婢 slave
嬖 favorite
幣 money
庇 to
庳 lowbuilt
弊 detriment
弼 assist
必 certainly
怭 frivolous
愊 melancholy
愎 perverse
敝 my
斃 die
柲 weapon
梐 stockade
楅 placed
比 associate
毖 careful
泌 secrete
湢 public
狴 tapir
獘 collapse
獙 die
珌 gem
璧 piece
畀 confer
畢 whole
痹 paralysis
痺 numb
睥 look
碧 green
篦 finetoothed
篳 wicker
臂 arm
苾 phonetic
萆 castor
蓖 castoroil
蓽 bean
蔽 to
薜 Ficus
裨 to
襞 creases
觱 fever
詖 a
賁 bright
贔 support
蹕 streets
躄 both
辟 king
避 avoid
邲 surname
鉍 bismuth
鎞 plowshare
閉 to
閟 hidden
陛 steps
飶 fragrance
馝 fragrance
駜 strong
驆 transliterating
髀 buttocks
鷩 phasianus
砭 stone
箯 bamboo
籩 basket
編 weave
蝙 bat
邊 side
鞭 whip
匾 a
扁 flat
窆 coffin
褊 narrow
貶 to
便 ordinary
卞 surname
弁 cap
忭 delighted
抃 strike
汳 Henan
汴 river
緶 braid
艑 skiff
變 to
辨 distinguish
辮 braid
辯 dispute
遍 a
釆 to
儦 walking
彪 a
